
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2015","","2020",""
"169"," Afghanistan","15.8","","16.0","","15.5","","16.0","","15.9","","17.2","","18.4",""
"69"," Albania","24.0","","24.6","","27.0","","29.1","","32.2","","34.9","","36.4",""
"91"," Algeria","18.0","","19.4","","21.7","","24.1","","26.0","","27.5","","28.5",""
"148"," Angola","16.1","","16.1","","16.3","","16.4","","16.4","","16.4","","16.7",""
"78"," Antigua and Barbuda","25.2","","26.5","","28.1","","29.5","","31.1","","32.6","","34.0",""
"46"," Argentina","27.0","","27.1","","27.6","","28.5","","29.6","","30.5","","31.5",""
"81"," Armenia","27.2","","29.4","","30.6","","31.8","","32.9","","33.8","","35.4",""
"8"," Australia","32.1","a","33.6","a","35.4","a","36.5","a","36.8","a","37.2","a","37.9","a"
"18"," Austria","36.5","","36.3","","38.2","","40.0","","41.9","","43.2","","43.5",""
"88"," Azerbaijan","24.1","b","24.6","b","25.6","b","27.1","b","28.7","b","30.3","b","32.3","b"
"58"," Bahamas","23.6","","25.0","","27.0","","28.1","","29.4","","30.9","","32.3",""
"42"," Bahrain","25.4","","26.4","","26.6","","27.8","","30.1","","31.2","","32.5",""
"133"," Bangladesh","18.6","","19.6","","21.0","","22.5","","24.0","","25.7","","27.6",""
"58"," Barbados","28.4","","31.2","","33.7","","35.5","","37.3","","39.0","","40.5",""
"53"," Belarus","33.1","","34.7","","36.5","","38.1","","38.9","","39.5","","40.3",""
"14"," Belgium","36.5","","37.6","","39.0","","40.3","","40.9","","41.3","","41.9",""
"110"," Belize","17.9","","18.4","","19.2","","20.3","","21.9","","23.7","","25.5",""
"158"," Benin","17.1","","17.2","","17.3","","17.6","","17.9","","18.2","","18.8",""
"129"," Bhutan","18.1","","18.4","","19.5","","21.4","","23.3","","25.7","","28.1",""
"107"," Bolivia (Plurinational State of)","20.0","","20.5","","21.1","","21.9","","22.9","","24.1","","25.6",""
"73"," Bosnia and Herzegovina","29.8","","33.1","","35.0","","36.9","","38.9","","40.7","","43.1",""
"100"," Botswana","17.2","","18.3","","19.7","","21.0","","22.2","","23.0","","24.0",""
"84"," Brazil","22.6","","23.9","","25.3","","27.1","","29.2","","31.4","","33.5",""
"47"," Brunei Darussalam","23.1","","24.0","","25.5","","26.8","","27.5","","29.9","","32.3",""
"56"," Bulgaria","36.5","","38.2","","39.7","","41.1","","42.3","","43.4","","44.6",""
"182"," Burkina Faso","16.3","","16.3","","16.4","","16.6","","16.7","","17.0","","17.6",""
"185"," Burundi","16.1","","14.9","","15.0","","16.2","","17.0","","17.1","","17.3",""
"126"," Cabo Verde","16.8","","17.1","","18.0","","19.8","","22.6","","25.1","","27.6",""
"144"," Cambodia","17.9","","17.3","","18.1","","20.4","","22.7","","23.9","","25.6",""
"153"," Cameroon","16.7","","16.8","","17.2","","17.6","","17.9","","18.2","","18.7",""
"16"," Canada","32.9","","34.8","","36.8","","38.6","","39.6","","40.4","","41.1",""
"188"," Central African Republic","18.1","","18.2","","18.1","","18.0","","17.7","","17.1","","17.6",""
"187"," Chad","16.2","","15.8","","15.5","","15.4","","15.6","","16.0","","16.6",""
"43"," Chile","25.7","","27.0","","28.7","","30.5","","32.2","","33.8","","35.3",""
"85"," China","24.9","","27.4","","30.0","","32.6","","35.0","","36.7","","38.4",""
"83"," Colombia","21.9","","22.9","","24.1","","25.7","","27.5","","29.5","","31.3",""
"156"," Comoros","17.0","","17.1","","17.7","","18.4","","19.1","","19.7","","20.4",""
"149"," Congo","17.4","","18.0","","18.6","","18.9","","19.2","","18.9","","19.2",""
"175"," Congo (Democratic Republic of the)","17.4","","17.2","","17.1","","17.0","","16.9","","16.8","","17.0",""
"62"," Costa Rica","23.0","","24.1","","25.3","","27.2","","29.1","","31.2","","33.5",""
"43"," Croatia","35.8","","37.9","","38.9","","40.5","","41.7","","43.1","","44.3",""
"70"," Cuba","27.7","","30.2","","32.8","","35.6","","38.4","","40.8","","42.2",""
"33"," Cyprus","29.9","c","31.0","c","31.8","c","32.9","c","33.9","c","34.9","c","37.3","c"
"27"," Czechia","35.3","","36.1","","37.5","","38.7","","39.6","","41.4","","43.2",""
"162"," Côte d'Ivoire","17.5","","17.8","","18.0","","17.8","","17.9","","18.3","","18.9",""
"10"," Denmark","37.1","","37.7","","38.4","","39.6","","40.6","","41.6","","42.3",""
"166"," Djibouti","17.4","","18.1","","19.3","","20.1","","23.4","","25.0","","26.6",""
"88"," Dominican Republic","20.3","","21.4","","22.5","","23.7","","25.0","","26.5","","28.0",""
"86"," Ecuador","20.5","","21.6","","22.6","","23.7","","25.0","","26.5","","27.9",""
"116"," Egypt","19.7","","20.2","","21.1","","22.5","","23.7","","24.3","","24.6",""
"124"," El Salvador","19.6","","20.9","","22.0","","23.0","","24.2","","25.7","","27.6",""
"145"," Equatorial Guinea","19.1","","18.9","","19.6","","20.6","","21.5","","22.1","","22.3",""
"180"," Eritrea","17.4","","15.6","","16.6","","19.1","","19.8","","19.2","","19.2",""
"29"," Estonia","34.4","","36.4","","38.0","","39.4","","40.2","","41.6","","42.4",""
"138"," Eswatini (Kingdom of)","15.6","","16.6","","17.7","","18.5","","19.0","","19.7","","20.7",""
"173"," Ethiopia","16.8","","16.7","","16.6","","16.7","","17.3","","18.3","","19.5",""
"93"," Fiji","20.9","","21.6","","22.1","","25.3","","26.5","","27.0","","27.9",""
"11"," Finland","36.4","d","37.8","d","39.4","d","40.9","d","42.0","d","42.5","d","43.1","d"
"26"," France","34.8","","36.2","","37.7","","38.9","","40.1","","41.2","","42.3",""
"119"," Gabon","19.3","","19.0","","19.3","","20.0","","21.2","","22.3","","22.5",""
"172"," Gambia","18.2","","17.1","","16.5","","16.7","","17.1","","17.5","","17.8",""
"61"," Georgia","31.0","e","32.8","e","34.7","e","35.9","e","37.0","e","37.7","e","38.3","e"
"6"," Germany","37.6","","38.4","","40.1","","42.1","","44.3","","45.9","","45.7",""
"138"," Ghana","17.6","","18.1","","18.5","","19.2","","20.0","","20.7","","21.5",""
"32"," Greece","35.1","","36.5","","38.0","","39.4","","41.1","","43.4","","45.5",""
"74"," Grenada","20.4","","22.1","","23.9","","26.0","","29.2","","30.6","","32.0",""
"127"," Guatemala","16.9","","17.2","","17.7","","18.5","","19.7","","21.3","","22.9",""
"178"," Guinea","17.5","","17.0","","16.7","","16.4","","16.7","","17.1","","18.0",""
"175"," Guinea-Bissau","16.8","","16.8","","17.0","","17.6","","18.1","","18.4","","18.8",""
"122"," Guyana","21.1","","21.7","","22.7","","23.1","","24.5","","25.0","","26.7",""
"170"," Haiti","18.5","","18.5","","19.1","","20.3","","21.5","","22.7","","24.0",""
"132"," Honduras","16.9","","17.5","","18.2","","19.3","","20.7","","22.5","","24.3",""
