Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Region,HDI Rank,Country,mean_year_school_2018,mean_year_school_2019
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,Western Europe,11,Finland,12.8,12.8
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,Western Europe,10,Denmark,12.6,12.6
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,Western Europe,1,Norway,12.8,12.9
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,Western Europe,4,Iceland,12.5,12.8
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,Western Europe,8,Netherlands,12.3,12.4
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,Western Europe,2,Switzerland,13.4,13.4
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,Western Europe,7,Sweden,12.4,12.5
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,North America and ANZ,14,New Zealand,12.7,12.8
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,North America and ANZ,16,Canada,13.3,13.4
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,Western Europe,18,Austria,12.6,12.5
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,North America and ANZ,8,Australia,12.7,12.7
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,Latin America and Caribbean,62,Costa Rica,8.7,8.7
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,Middle East and North Africa,19,Israel,13.0,13.0
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,Western Europe,23,Luxembourg,12.2,12.3
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,Western Europe,13,United Kingdom,13.0,13.2
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,Western Europe,2,Ireland,12.5,12.7
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,Western Europe,6,Germany,14.1,14.2
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,Western Europe,14,Belgium,12.0,12.1
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,North America and ANZ,17,United States,13.4,13.4
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,Central and Eastern Europe,27,Czech Republic,12.7,12.7
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,Middle East and North Africa,31,United Arab Emirates,12.1,12.1
22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,Western Europe,28,Malta,11.3,11.3
23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,Latin America and Caribbean,74,Mexico,8.6,8.8
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,Western Europe,26,France,11.4,11.5
26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,Latin America and Caribbean,43,Chile,10.4,10.6
27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,Latin America and Caribbean,127,Guatemala,6.5,6.6
