2019,2020,2021,2022,Score2019,Score2020,Score2021,Score2022
Finland,Finland,Finland,Finland,7.769,7.808700084686279,7.842100143432617,7.821000099182129
Denmark,Denmark,Denmark,Denmark,7.6,7.645599842071533,7.619500160217285,7.636199951171875
Norway,Switzerland,Switzerland,Iceland,7.554,7.559899806976318,7.571499824523926,7.557499885559082
Iceland,Iceland,Iceland,Switzerland,7.494,7.504499912261963,7.553899765014648,7.511600017547607
Netherlands,Norway,Netherlands,Netherlands,7.488,7.48799991607666,7.464000225067139,7.414899826049805
Switzerland,Netherlands,Norway,Luxembourg*,7.48,7.44890022277832,7.392499923706055,7.4039998054504395
Sweden,Sweden,Sweden,Sweden,7.343,7.353499889373779,7.36269998550415,7.384300231933594
New Zealand,New Zealand,Luxembourg,Norway,7.307,7.299600124359131,7.324399948120117,7.365099906921387
Canada,Austria,New Zealand,Israel,7.278,7.2941999435424805,7.276599884033203,7.363800048828125
Austria,Luxembourg,Austria,New Zealand,7.246,7.237500190734863,7.2677998542785645,7.19980001449585
Australia,Canada,Australia,Austria,7.228,7.232100009918213,7.183499813079834,7.163000106811523
Costa Rica,Australia,Israel,Australia,7.167,7.222799777984619,7.157100200653076,7.162099838256836
Israel,United Kingdom,Germany,Ireland,7.139,7.1645002365112305,7.1545000076293945,7.040800094604492
Luxembourg,Israel,Canada,Germany,7.09,7.128600120544434,7.103300094604492,7.03410005569458
United Kingdom,Costa Rica,Ireland,Canada,7.054,7.121399879455566,7.085299968719482,7.025100231170654
Ireland,Ireland,Costa Rica,United States,7.021,7.093699932098389,7.069399833679199,6.976799964904785
Germany,Germany,United Kingdom,United Kingdom,6.985,7.075799942016602,7.063600063323975,6.942500114440918
Belgium,United States,Czech Republic,Czechia,6.923,6.939599990844727,6.964700222015381,6.9197998046875
United States,Czech Republic,United States,Belgium,6.892,6.910900115966797,6.951499938964844,6.804999828338623
Czech Republic,Belgium,Belgium,France,6.852,6.863500118255615,6.834000110626221,6.686699867248535
United Arab Emirates,United Arab Emirates,France,Bahrain,6.825,6.790800094604492,6.689899921417236,6.646900177001953
Malta,Malta,Bahrain,Slovenia,6.726,6.772799968719482,6.646900177001953,6.630099773406982
Mexico,France,Malta,Costa Rica,6.595,6.66379976272583,6.6020002365112305,6.581999778747559
France,Mexico,Taiwan Province of China,United Arab Emirates,6.592,6.465000152587891,6.584400177001953,6.576000213623047
Taiwan,Taiwan Province of China,United Arab Emirates,Saudi Arabia,6.446,6.455399990081787,6.560500144958496,6.522799968719482
Chile,Uruguay,Saudi Arabia,Taiwan Province of China,6.444,6.440100193023682,6.49399995803833,6.512499809265137
Guatemala,Saudi Arabia,Spain,Singapore,6.436,6.406499862670898,6.490699768066406,6.480199813842773
Saudi Arabia,Spain,Italy,Romania,6.375,6.400899887084961,6.483099937438965,6.4770002365112305
Qatar,Guatemala,Slovenia,Spain,6.374,6.398900032043457,6.460700035095215,6.47629976272583
Spain,Italy,Guatemala,Uruguay,6.354,6.387400150299072,6.434500217437744,6.473599910736084
Panama,Singapore,Uruguay,Italy,6.321,6.377099990844727,6.431399822235107,6.466700077056885
Brazil,Brazil,Singapore,Kosovo,6.3,6.3755998611450195,6.376500129699707,6.455100059509277
Uruguay,Slovenia,Kosovo,Malta,6.293,6.363399982452393,6.372000217437744,6.446899890899658
Singapore,El Salvador,Slovakia,Lithuania,6.262,6.348299980163574,6.330900192260742,6.4456000328063965
El Salvador,Kosovo,Brazil,Slovakia,6.253,6.325200080871582,6.330100059509277,6.390699863433838
Italy,Panama,Mexico,Estonia,6.223,6.304800033569336,6.316800117492676,6.340799808502197
Bahrain,Slovakia,Jamaica,Panama,6.199,6.280600070953369,6.309199810028076,6.309100151062012
Slovakia,Uzbekistan,Lithuania,Brazil,6.198,6.257599830627441,6.25540018081665,6.292799949645996
Trinidad & Tobago,Chile,Cyprus,Guatemala*,6.192,6.228499889373779,6.223499774932861,6.262199878692627
Poland,Bahrain,Estonia,Kazakhstan,6.182,6.22730016708374,6.188799858093262,6.234099864959717
Uzbekistan,Lithuania,Panama,Cyprus,6.174,6.2154998779296875,6.179599761962891,6.220900058746338
Lithuania,Trinidad and Tobago,Uzbekistan,Latvia,6.149,6.19189977645874,6.178800106048584,6.1803998947143555
Colombia,Poland,Chile,Serbia,6.125,6.186299800872803,6.171899795532227,6.177999973297119
Slovenia,Colombia,Poland,Chile,6.118,6.163400173187256,6.166100025177002,6.171800136566162
Nicaragua,Cyprus,Kazakhstan,Nicaragua,6.105,6.158999919891357,6.151800155639648,6.164599895477295
Kosovo,Nicaragua,Romania,Mexico,6.1,6.1371002197265625,6.139999866485596,6.127600193023682
Argentina,Romania,Kuwait,Croatia,6.086,6.123700141906738,6.106100082397461,6.125199794769287
Romania,Kuwait,Serbia,Poland,6.07,6.102099895477295,6.077899932861328,6.122799873352051
Cyprus,Mauritius,El Salvador,El Salvador,6.046,6.10129976272583,6.060500144958496,6.119999885559082
Ecuador,Kazakhstan,Mauritius,Kuwait*,6.028,6.0578999519348145,6.048999786376953,6.106100082397461
Kuwait,Estonia,Latvia,Hungary,6.021,6.0218000411987305,6.0320000648498535,6.085899829864502
Thailand,Philippines,Colombia,Mauritius,6.008,6.00600004196167,6.012400150299072,6.071100234985352
Latvia,Hungary,Hungary,Uzbekistan,5.94,6.000400066375732,5.991600036621094,6.062699794769287
South Korea,Thailand,Thailand,Japan,5.895,5.998799800872803,5.9847002029418945,6.038899898529053
Estonia,Argentina,Nicaragua,Honduras,5.893,5.974699974060059,5.972099781036377,6.02209997177124
Jamaica,Honduras,Japan,Portugal,5.89,5.953199863433838,5.940499782562256,6.016300201416016
Mauritius,Latvia,Argentina,Argentina,5.888,5.949999809265137,5.929299831390381,5.9670000076293945
Japan,Ecuador,Portugal,Greece,5.886,5.92519998550415,5.928999900817871,5.948200225830078
Honduras,Portugal,Honduras,South Korea,5.86,5.910900115966797,5.9191999435424805,5.935100078582764
